Date,Customer name,review,car_model,sentiment,issues
16-06-2025,Nikhil Zhou,"Despite reserving an automatic, I was handed a manual and told no automatics were available. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. There was an unexplained additional charge on my bill that I had to dispute. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. I loved the peppy acceleration, especially when merging onto the highway. The windshield wipers were old and smeared rain, making night driving stressful. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. The pickup process was smooth and the staff greeted me with genuine warmth.",Mercedes C-Class,positive,['staff_behavior']
15-02-2025,Tara Taylor,"The fuel efficiency saved me money on a long road trip across three states. There was an unexplained additional charge on my bill that I had to dispute. I was impressed by how spotless the interior and exterior of the vehicle were. I loved the peppy acceleration, especially when merging onto the highway. I waited nearly forty minutes in line because only one counter was open at pickup. The air-conditioning emitted a musty odor that never completely went away during the rental. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Fuel economy matched the manufacturer's rating; nothing surprising there. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date.",Mercedes C-Class,positive,"['late_delivery', 'cleanliness']"
29-11-2024,Simon Petrov,"Acceleration was average; it performed as expected for a mid-size sedan. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The windshield wipers were old and smeared rain, making night driving stressful. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The air-conditioning emitted a musty odor that never completely went away during the rental. Exterior styling was plain, but I suppose function matters more than form for a rental. The tank was only three-quarters full even though they claimed it was topped off.",Chevrolet Malibu,negative,"['car_condition', 'cleanliness']"
01-07-2024,Carla Hughes,"There was an unexplained additional charge on my bill that I had to dispute. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Despite reserving an automatic, I was handed a manual and told no automatics were available. The seats offered decent lumbar support but could use softer cushioning for long drives. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The infotainment system had standard features, though the screen was smaller than newer models. I waited nearly forty minutes in line because only one counter was open at pickup. The tank was only three-quarters full even though they claimed it was topped off.",Mercedes C-Class,negative,"['late_delivery', 'car_condition']"
14-10-2024,Rina Johansson,"Exterior styling was plain, but I suppose function matters more than form for a rental. I appreciated the transparent pricing; there were no hidden fees on my final invoice. The tank was only three-quarters full even though they claimed it was topped off. The air-conditioning emitted a musty odor that never completely went away during the rental. Returning the car was effortless; it took less than five minutes to finalize everything. Despite reserving an automatic, I was handed a manual and told no automatics were available. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. I found potato chip crumbs under the seat, suggesting the cleaning was rushed.",Chevrolet Malibu,positive,"['cleanliness', 'billing']"
06-01-2024,Hugo Williams,"I loved the peppy acceleration, especially when merging onto the highway. Ride comfort was acceptable on city streets but a bit firm over potholes. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Returning the car was effortless; it took less than five minutes to finalize everything. I was impressed by how spotless the interior and exterior of the vehicle were. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The trunk space was adequate for two large suitcases but nothing extraordinary.",Kia Optima,positive,['other']
03-10-2024,Rina Fischer,"Pickup location signage was clear enough, though a second sign near the exit would help newcomers. Acceleration was average; it performed as expected for a mid-size sedan. The windshield wipers were old and smeared rain, making night driving stressful. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The air-conditioning emitted a musty odor that never completely went away during the rental. The tank was only three-quarters full even though they claimed it was topped off. There was an unexplained additional charge on my bill that I had to dispute. I found potato chip crumbs under the seat, suggesting the cleaning was rushed.",Honda Civic,negative,"['car_condition', 'cleanliness']"
04-09-2024,Elena Fischer,"The windshield wipers were old and smeared rain, making night driving stressful. Returning the car was effortless; it took less than five minutes to finalize everything. The air-conditioning emitted a musty odor that never completely went away during the rental. The fuel efficiency saved me money on a long road trip across three states. Their mobile app worked, although it occasionally froze during the reservation process. I loved the peppy acceleration, especially when merging onto the highway. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The tank was only three-quarters full even though they claimed it was topped off. Customer service followed up via email to make sure I was satisfied, which felt thoughtful.",Jeep Wrangler,positive,"['cleanliness', 'staff_behavior']"
19-02-2024,Hugo Evans,"The windshield wipers were old and smeared rain, making night driving stressful. I loved the peppy acceleration, especially when merging onto the highway. The seats offered decent lumbar support but could use softer cushioning for long drives. I appreciated the transparent pricing; there were no hidden fees on my final invoice. I was impressed by how spotless the interior and exterior of the vehicle were. I waited nearly forty minutes in line because only one counter was open at pickup. The fuel efficiency saved me money on a long road trip across three states. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I found potato chip crumbs under the seat, suggesting the cleaning was rushed.",Audi A4,positive,"['late_delivery', 'staff_behavior', 'billing']"
03-06-2025,Elena Williams,"I loved the peppy acceleration, especially when merging onto the highway. I waited nearly forty minutes in line because only one counter was open at pickup. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The trunk space was adequate for two large suitcases but nothing extraordinary. The pickup process was smooth and the staff greeted me with genuine warmth. The windshield wipers were old and smeared rain, making night driving stressful. Returning the car was effortless; it took less than five minutes to finalize everything. There was an unexplained additional charge on my bill that I had to dispute.",Ford Focus,positive,"['late_delivery', 'staff_behavior']"
